2012-06-11 14:44:57 status unpacked perl-base 5.10.1-17squeeze3
2012-06-11 14:44:57 install sed <none> 4.2.1-7
2012-06-11 14:44:57 status half-installed sed 4.2.1-7
2012-06-11 14:44:58 status unpacked sed 4.2.1-7
2012-06-11 14:44:58 status unpacked sed 4.2.1-7
2012-06-11 14:44:58 install sensible-utils <none> 0.0.4
2012-06-11 14:44:58 status half-installed sensible-utils 0.0.4
2012-06-11 14:44:58 status unpacked sensible-utils 0.0.4
2012-06-11 14:44:58 status unpacked sensible-utils 0.0.4
2012-06-11 14:44:58 install login <none> 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status half-installed login 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 install passwd <none> 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status half-installed passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2012-06-11 14:44:58 install libslang2 <none> 2.2.2-4
2012-06-11 14:44:58 status half-installed libslang2 2.2.2-4
2012-06-11 14:44:58 status unpacked libslang2 2.2.2-4
2012-06-11 14:44:58 status unpacked libslang2 2.2.2-4
2012-06-11 14:44:58 install initscripts <none> 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status half-installed initscripts 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked initscripts 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked initscripts 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 install sysv-rc <none> 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status half-installed sysv-rc 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 install sysvinit-utils <none> 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status half-installed sysvinit-utils 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 install sysvinit <none> 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status half-installed sysvinit 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2012-06-11 14:44:58 install tar <none> 1.23-3
2012-06-11 14:44:58 status half-installed tar 1.23-3
2012-06-11 14:44:59 status unpacked tar 1.23-3
2012-06-11 14:44:59 status unpacked tar 1.23-3
2012-06-11 14:44:59 install tzdata <none> 2012c-0squeeze1
